Time	EEG_Fp1	EEG_Fp2	PPG
오후 4:56:54.735 	-0.000023	-0.000010	0.000616
오후 4:56:54.735 	-0.000025	-0.000014	0.000612
오후 4:56:54.761 	-0.000015	-0.000003	0.000608
오후 4:56:54.761 	-0.000021	-0.000003	0.000603
오후 4:56:54.782 	-0.000026	-0.000013	0.000600
오후 4:56:54.782 	-0.000018	-0.000015	0.000596
오후 4:56:54.809 	-0.000016	-0.000006	0.000591
오후 4:56:54.809 	0.000001	0.000012	0.000588
오후 4:56:54.814 	-0.000000	0.000008	0.000583
오후 4:56:54.814 	0.000016	0.000020	0.000579
오후 4:56:54.832 	0.000025	0.000032	0.000575
오후 4:56:54.832 	0.000025	0.000037	0.000570
오후 4:56:54.857 	0.000025	0.000044	0.000566
오후 4:56:54.857 	0.000038	0.000064	0.000561
오후 4:56:54.883 	0.000062	0.000081	0.000557
오후 4:56:54.883 	0.000068	0.000099	0.000553
오후 4:56:54.908 	0.000093	0.000131	0.000548
오후 4:56:54.908 	0.000091	0.000128	0.000543
오후 4:56:54.913 	0.000084	0.000134	0.000539
오후 4:56:54.913 	0.000120	0.000170	0.000534
오후 4:56:54.934 	0.000128	0.000184	0.000530
오후 4:56:54.934 	0.000115	0.000191	0.000526
오후 4:56:54.961 	0.000113	0.000190	0.000522
오후 4:56:54.961 	0.000129	0.000202	0.000518
오후 4:56:54.984 	0.000116	0.000208	0.000515
오후 4:56:54.984 	0.000101	0.000197	0.000512
오후 4:56:55.010 	0.000101	0.000185	0.000509
오후 4:56:55.010 	0.000101	0.000181	0.000507
오후 4:56:55.034 	0.000088	0.000178	0.000505
오후 4:56:55.034 	0.000074	0.000165	0.000503
오후 4:56:55.062 	0.000071	0.000151	0.000502
오후 4:56:55.062 	0.000048	0.000127	0.000500
오후 4:56:55.087 	0.000032	0.000115	0.000499
오후 4:56:55.087 	0.000017	0.000104	0.000498
오후 4:56:55.109 	0.000000	0.000077	0.000498
오후 4:56:55.109 	-0.000005	0.000067	0.000498
오후 4:56:55.135 	-0.000022	0.000056	0.000498
오후 4:56:55.135 	-0.000035	0.000045	0.000498
오후 4:56:55.157 	-0.000049	0.000025	0.000498
오후 4:56:55.157 	-0.000054	0.000006	0.000498
오후 4:56:55.184 	-0.000067	0.000000	0.000499
오후 4:56:55.184 	-0.000061	0.000007	0.000499
오후 4:56:55.208 	-0.000081	-0.000014	0.000500
오후 4:56:55.208 	-0.000080	-0.000021	0.000501
오후 4:56:55.234 	-0.000090	-0.000030	0.000501
오후 4:56:55.234 	-0.000087	-0.000028	0.000502
오후 4:56:55.259 	-0.000078	-0.000021	0.000502
오후 4:56:55.259 	-0.000088	-0.000034	0.000503
오후 4:56:55.264 	-0.000092	-0.000047	0.000503
오후 4:56:55.264 	-0.000080	-0.000038	0.000503
오후 4:56:55.298 	-0.000095	-0.000048	0.000503
오후 4:56:55.298 	-0.000101	-0.000055	0.000504
오후 4:56:55.308 	-0.000111	-0.000065	0.000504
오후 4:56:55.308 	-0.000101	-0.000060	0.000503
오후 4:56:55.333 	-0.000101	-0.000056	0.000503
오후 4:56:55.333 	-0.000093	-0.000052	0.000503
오후 4:56:55.334 	-0.000105	-0.000072	0.000502
오후 4:56:55.334 	-0.000104	-0.000070	0.000502
오후 4:56:55.363 	-0.000116	-0.000073	0.000502
오후 4:56:55.363 	-0.000113	-0.000075	0.000501
오후 4:56:55.364 	-0.000103	-0.000073	0.000501
오후 4:56:55.364 	-0.000114	-0.000087	0.000500
오후 4:56:55.383 	-0.000124	-0.000093	0.000499
오후 4:56:55.383 	-0.000107	-0.000072	0.000498
오후 4:56:55.385 	-0.000108	-0.000079	0.000498
오후 4:56:55.385 	-0.000109	-0.000085	0.000497
오후 4:56:55.386 	-0.000110	-0.000079	0.000496
오후 4:56:55.386 	-0.000113	-0.000082	0.000495
오후 4:56:55.387 	-0.000097	-0.000081	0.000494
오후 4:56:55.387 	-0.000092	-0.000082	0.000494
오후 4:56:55.389 	-0.000084	-0.000073	0.000493
오후 4:56:55.389 	-0.000084	-0.000068	0.000492
오후 4:56:55.390 	-0.000089	-0.000070	0.000491
오후 4:56:55.390 	-0.000090	-0.000074	0.000490
오후 4:56:55.391 	-0.000095	-0.000076	0.000490
오후 4:56:55.391 	-0.000101	-0.000076	0.000490
오후 4:56:55.411 	-0.000085	-0.000063	0.000489
오후 4:56:55.411 	-0.000074	-0.000063	0.000488
오후 4:56:55.412 	-0.000061	-0.000055	0.000488
오후 4:56:55.412 	-0.000062	-0.000055	0.000487
오후 4:56:55.414 	-0.000077	-0.000061	0.000487
오후 4:56:55.414 	-0.000068	-0.000058	0.000486
오후 4:56:55.415 	-0.000073	-0.000067	0.000486
오후 4:56:55.415 	-0.000074	-0.000065	0.000485
오후 4:56:55.417 	-0.000069	-0.000057	0.000485
오후 4:56:55.417 	-0.000063	-0.000054	0.000485
오후 4:56:55.419 	-0.000052	-0.000058	0.000485
오후 4:56:55.419 	-0.000057	-0.000057	0.000485
오후 4:56:55.432 	-0.000052	-0.000048	0.000485
오후 4:56:55.432 	-0.000046	-0.000046	0.000485
오후 4:56:55.434 	-0.000053	-0.000062	0.000485
오후 4:56:55.434 	-0.000040	-0.000051	0.000485
오후 4:56:55.435 	-0.000049	-0.000053	0.000485
오후 4:56:55.435 	-0.000059	-0.000059	0.000485
오후 4:56:55.436 	-0.000038	-0.000046	0.000485
오후 4:56:55.436 	-0.000031	-0.000042	0.000485
오후 4:56:55.437 	-0.000041	-0.000046	0.000486
오후 4:56:55.437 	-0.000044	-0.000042	0.000486
오후 4:56:55.438 	-0.000035	-0.000043	0.000487
오후 4:56:55.438 	-0.000031	-0.000051	0.000487
오후 4:56:55.440 	-0.000033	-0.000042	0.000487
오후 4:56:55.440 	-0.000038	-0.000041	0.000488
오후 4:56:55.459 	-0.000042	-0.000048	0.000488
오후 4:56:55.459 	-0.000051	-0.000052	0.000489
오후 4:56:55.460 	-0.000044	-0.000049	0.000489
오후 4:56:55.460 	-0.000041	-0.000045	0.000490
오후 4:56:55.462 	-0.000041	-0.000050	0.000490
오후 4:56:55.462 	-0.000027	-0.000041	0.000491
오후 4:56:55.509 	-0.000018	-0.000033	0.000491
오후 4:56:55.509 	-0.000019	-0.000030	0.000492
오후 4:56:55.510 	-0.000025	-0.000036	0.000492
오후 4:56:55.510 	-0.000021	-0.000040	0.000493
오후 4:56:55.512 	-0.000013	-0.000032	0.000494
오후 4:56:55.512 	-0.000025	-0.000038	0.000494
오후 4:56:55.513 	-0.000008	-0.000017	0.000494
오후 4:56:55.513 	-0.000025	-0.000038	0.000495
오후 4:56:55.514 	-0.000019	-0.000037	0.000495
오후 4:56:55.514 	-0.000021	-0.000031	0.000496
오후 4:56:55.516 	-0.000024	-0.000029	0.000497
오후 4:56:55.516 	-0.000035	-0.000043	0.000497
오후 4:56:55.517 	-0.000035	-0.000046	0.000498
오후 4:56:55.517 	-0.000026	-0.000038	0.000498
오후 4:56:55.518 	-0.000023	-0.000032	0.000498
오후 4:56:55.518 	-0.000027	-0.000038	0.000499
오후 4:56:55.531 	-0.000024	-0.000045	0.000500
오후 4:56:55.531 	-0.000025	-0.000051	0.000500
오후 4:56:55.533 	-0.000029	-0.000041	0.000500
오후 4:56:55.533 	-0.000041	-0.000043	0.000501
오후 4:56:55.534 	-0.000033	-0.000050	0.000501
오후 4:56:55.534 	-0.000036	-0.000055	0.000502
오후 4:56:55.535 	-0.000033	-0.000046	0.000502
오후 4:56:55.535 	-0.000030	-0.000039	0.000502
오후 4:56:55.536 	-0.000035	-0.000046	0.000503
오후 4:56:55.536 	-0.000030	-0.000048	0.000503
오후 4:56:55.560 	-0.000029	-0.000039	0.000504
오후 4:56:55.560 	-0.000028	-0.000037	0.000505
오후 4:56:55.561 	-0.000027	-0.000044	0.000505
오후 4:56:55.561 	-0.000023	-0.000040	0.000506
오후 4:56:55.583 	-0.000025	-0.000046	0.000506
오후 4:56:55.583 	-0.000030	-0.000038	0.000507
오후 4:56:55.585 	-0.000028	-0.000037	0.000509
오후 4:56:55.585 	-0.000028	-0.000045	0.000510
오후 4:56:55.607 	-0.000023	-0.000038	0.000512
오후 4:56:55.607 	-0.000025	-0.000032	0.000514
오후 4:56:55.609 	-0.000023	-0.000033	0.000517
오후 4:56:55.609 	-0.000024	-0.000037	0.000520
오후 4:56:55.611 	-0.000021	-0.000039	0.000524
오후 4:56:55.611 	-0.000018	-0.000029	0.000529
오후 4:56:55.633 	-0.000032	-0.000036	0.000535
오후 4:56:55.633 	-0.000021	-0.000038	0.000541
오후 4:56:55.637 	-0.000010	-0.000033	0.000549
오후 4:56:55.637 	-0.000009	-0.000027	0.000556
오후 4:56:55.638 	-0.000033	-0.000046	0.000563
오후 4:56:55.638 	-0.000049	-0.000056	0.000571
오후 4:56:55.664 	-0.000015	-0.000027	0.000578
오후 4:56:55.664 	-0.000025	-0.000042	0.000586
오후 4:56:55.690 	-0.000038	-0.000042	0.000592
오후 4:56:55.690 	-0.000031	-0.000033	0.000599
오후 4:56:55.691 	-0.000033	-0.000041	0.000605
오후 4:56:55.691 	-0.000035	-0.000045	0.000609
오후 4:56:55.693 	-0.000035	-0.000035	0.000614
오후 4:56:55.693 	-0.000032	-0.000032	0.000617
오후 4:56:55.694 	-0.000043	-0.000049	0.000620
오후 4:56:55.694 	-0.000029	-0.000039	0.000622
오후 4:56:55.696 	-0.000017	-0.000022	0.000624
오후 4:56:55.696 	-0.000017	-0.000016	0.000625
오후 4:56:55.697 	-0.000025	-0.000026	0.000625
오후 4:56:55.697 	-0.000022	-0.000034	0.000624
오후 4:56:55.699 	-0.000025	-0.000034	0.000623
오후 4:56:55.699 	-0.000025	-0.000027	0.000622
오후 4:56:55.703 	-0.000019	-0.000025	0.000620
오후 4:56:55.703 	-0.000016	-0.000024	0.000618
오후 4:56:55.711 	-0.000019	-0.000027	0.000616
오후 4:56:55.711 	-0.000027	-0.000025	0.000612
오후 4:56:55.713 	-0.000029	-0.000027	0.000609
오후 4:56:55.713 	-0.000026	-0.000034	0.000606
오후 4:56:55.723 	-0.000021	-0.000022	0.000603
오후 4:56:55.723 	-0.000033	-0.000027	0.000599
오후 4:56:55.724 	-0.000030	-0.000023	0.000596
오후 4:56:55.724 	-0.000028	-0.000029	0.000592
오후 4:56:55.726 	-0.000035	-0.000039	0.000588
오후 4:56:55.726 	-0.000027	-0.000025	0.000585
오후 4:56:55.728 	-0.000026	-0.000024	0.000581
오후 4:56:55.728 	-0.000020	-0.000015	0.000578
오후 4:56:55.730 	-0.000025	-0.000023	0.000574
오후 4:56:55.730 	-0.000018	-0.000008	0.000570
오후 4:56:55.731 	-0.000011	-0.000004	0.000566
오후 4:56:55.731 	-0.000006	-0.000005	0.000562
오후 4:56:55.746 	-0.000014	-0.000017	0.000559
오후 4:56:55.746 	-0.000017	-0.000014	0.000555
오후 4:56:55.747 	-0.000010	-0.000001	0.000551
오후 4:56:55.747 	-0.000028	-0.000015	0.000547
오후 4:56:55.749 	-0.000013	-0.000012	0.000543
오후 4:56:55.749 	-0.000021	-0.000019	0.000539
오후 4:56:55.750 	-0.000017	-0.000008	0.000535
오후 4:56:55.750 	-0.000018	-0.000010	0.000531
오후 4:56:55.751 	-0.000013	-0.000014	0.000527
오후 4:56:55.751 	-0.000017	-0.000017	0.000523
오후 4:56:55.752 	-0.000015	-0.000012	0.000519
오후 4:56:55.752 	-0.000022	-0.000016	0.000516
오후 4:56:55.754 	-0.000024	-0.000017	0.000513
오후 4:56:55.754 	-0.000023	-0.000022	0.000510
오후 4:56:55.755 	-0.000024	-0.000013	0.000507
오후 4:56:55.755 	-0.000023	-0.000005	0.000504
오후 4:56:55.771 	-0.000018	-0.000009	0.000502
