Time	EEG_Fp1	EEG_Fp2	PPG
오후 5:01:06.913 	0.000030	0.000101	0.000522
오후 5:01:06.913 	0.000022	0.000101	0.000523
오후 5:01:06.925 	0.000030	0.000102	0.000523
오후 5:01:06.925 	0.000031	0.000102	0.000523
오후 5:01:06.933 	0.000025	0.000101	0.000523
오후 5:01:06.933 	0.000028	0.000102	0.000523
오후 5:01:06.937 	0.000031	0.000106	0.000524
오후 5:01:06.937 	0.000029	0.000098	0.000524
오후 5:01:06.965 	0.000041	0.000101	0.000524
오후 5:01:06.965 	0.000047	0.000100	0.000524
오후 5:01:06.982 	0.000043	0.000101	0.000524
오후 5:01:06.982 	0.000046	0.000104	0.000524
오후 5:01:06.996 	0.000039	0.000098	0.000524
오후 5:01:06.996 	0.000051	0.000109	0.000524
오후 5:01:07.026 	0.000051	0.000110	0.000524
오후 5:01:07.026 	0.000040	0.000095	0.000524
오후 5:01:07.032 	0.000042	0.000093	0.000524
오후 5:01:07.032 	0.000041	0.000094	0.000524
오후 5:01:07.045 	0.000041	0.000099	0.000524
오후 5:01:07.045 	0.000040	0.000101	0.000524
오후 5:01:07.064 	0.000030	0.000089	0.000524
오후 5:01:07.064 	0.000032	0.000091	0.000524
오후 5:01:07.083 	0.000042	0.000096	0.000524
오후 5:01:07.083 	0.000028	0.000082	0.000524
오후 5:01:07.111 	0.000021	0.000075	0.000524
오후 5:01:07.111 	0.000022	0.000076	0.000524
오후 5:01:07.136 	0.000030	0.000080	0.000524
오후 5:01:07.136 	0.000038	0.000086	0.000524
오후 5:01:07.157 	0.000042	0.000088	0.000524
오후 5:01:07.157 	0.000042	0.000090	0.000524
오후 5:01:07.159 	0.000040	0.000085	0.000524
오후 5:01:07.159 	0.000034	0.000079	0.000524
오후 5:01:07.184 	0.000037	0.000076	0.000524
오후 5:01:07.184 	0.000042	0.000083	0.000524
오후 5:01:07.208 	0.000044	0.000076	0.000524
오후 5:01:07.208 	0.000038	0.000082	0.000524
오후 5:01:07.235 	0.000039	0.000081	0.000524
오후 5:01:07.235 	0.000049	0.000093	0.000524
오후 5:01:07.259 	0.000033	0.000080	0.000524
오후 5:01:07.259 	0.000019	0.000070	0.000524
오후 5:01:07.284 	0.000024	0.000071	0.000524
오후 5:01:07.284 	0.000031	0.000070	0.000524
오후 5:01:07.311 	0.000030	0.000068	0.000524
오후 5:01:07.311 	0.000025	0.000071	0.000524
오후 5:01:07.333 	0.000013	0.000063	0.000524
오후 5:01:07.333 	0.000014	0.000060	0.000524
오후 5:01:07.359 	0.000008	0.000053	0.000524
오후 5:01:07.359 	0.000014	0.000057	0.000524
오후 5:01:07.385 	0.000025	0.000072	0.000524
오후 5:01:07.385 	0.000031	0.000070	0.000524
오후 5:01:07.408 	0.000036	0.000066	0.000524
오후 5:01:07.408 	0.000039	0.000072	0.000524
오후 5:01:07.415 	0.000043	0.000077	0.000524
오후 5:01:07.415 	0.000043	0.000074	0.000524
오후 5:01:07.454 	0.000039	0.000068	0.000524
오후 5:01:07.454 	0.000026	0.000063	0.000524
오후 5:01:07.456 	0.000033	0.000070	0.000524
오후 5:01:07.456 	0.000030	0.000067	0.000524
오후 5:01:07.457 	0.000028	0.000057	0.000524
오후 5:01:07.457 	0.000028	0.000058	0.000524
오후 5:01:07.483 	0.000017	0.000050	0.000524
오후 5:01:07.483 	0.000022	0.000051	0.000524
오후 5:01:07.484 	0.000029	0.000055	0.000524
오후 5:01:07.484 	0.000021	0.000051	0.000524
오후 5:01:07.485 	0.000022	0.000046	0.000524
오후 5:01:07.485 	0.000035	0.000059	0.000524
오후 5:01:07.486 	0.000046	0.000067	0.000524
오후 5:01:07.486 	0.000051	0.000065	0.000524
오후 5:01:07.509 	0.000042	0.000067	0.000524
오후 5:01:07.509 	0.000036	0.000068	0.000524
오후 5:01:07.510 	0.000038	0.000067	0.000524
오후 5:01:07.510 	0.000054	0.000073	0.000524
오후 5:01:07.511 	0.000046	0.000074	0.000524
오후 5:01:07.511 	0.000041	0.000074	0.000524
오후 5:01:07.522 	0.000038	0.000072	0.000525
오후 5:01:07.522 	0.000024	0.000052	0.000525
오후 5:01:07.529 	0.000012	0.000032	0.000525
오후 5:01:07.529 	0.000030	0.000057	0.000526
오후 5:01:07.530 	0.000035	0.000063	0.000526
오후 5:01:07.530 	0.000032	0.000061	0.000527
오후 5:01:07.540 	0.000020	0.000055	0.000528
오후 5:01:07.540 	0.000018	0.000052	0.000529
오후 5:01:07.542 	0.000013	0.000048	0.000530
오후 5:01:07.542 	0.000013	0.000040	0.000532
오후 5:01:07.575 	0.000030	0.000054	0.000533
오후 5:01:07.575 	0.000030	0.000059	0.000536
오후 5:01:07.581 	0.000019	0.000058	0.000538
오후 5:01:07.581 	0.000015	0.000049	0.000541
오후 5:01:07.582 	0.000009	0.000047	0.000544
오후 5:01:07.582 	0.000013	0.000054	0.000548
오후 5:01:07.583 	0.000008	0.000057	0.000551
오후 5:01:07.583 	0.000004	0.000057	0.000555
오후 5:01:07.584 	0.000013	0.000061	0.000559
오후 5:01:07.584 	0.000018	0.000063	0.000562
오후 5:01:07.607 	0.000002	0.000051	0.000566
오후 5:01:07.607 	0.000004	0.000057	0.000570
오후 5:01:07.609 	-0.000002	0.000051	0.000573
오후 5:01:07.609 	0.000009	0.000058	0.000576
오후 5:01:07.638 	0.000000	0.000046	0.000578
오후 5:01:07.638 	0.000008	0.000052	0.000581
오후 5:01:07.665 	0.000007	0.000047	0.000583
오후 5:01:07.665 	-0.000002	0.000035	0.000585
오후 5:01:07.666 	0.000007	0.000043	0.000586
오후 5:01:07.666 	0.000003	0.000040	0.000587
오후 5:01:07.667 	0.000004	0.000042	0.000587
오후 5:01:07.667 	0.000012	0.000051	0.000587
오후 5:01:07.668 	0.000021	0.000063	0.000587
오후 5:01:07.668 	0.000011	0.000055	0.000586
오후 5:01:07.685 	0.000005	0.000050	0.000584
오후 5:01:07.685 	-0.000000	0.000045	0.000582
오후 5:01:07.686 	-0.000007	0.000045	0.000581
오후 5:01:07.686 	0.000002	0.000057	0.000579
오후 5:01:07.687 	-0.000004	0.000051	0.000577
오후 5:01:07.687 	0.000009	0.000052	0.000574
오후 5:01:07.711 	-0.000015	0.000034	0.000572
오후 5:01:07.711 	-0.000012	0.000039	0.000570
오후 5:01:07.712 	-0.000010	0.000044	0.000567
오후 5:01:07.712 	-0.000013	0.000042	0.000565
오후 5:01:07.735 	-0.000002	0.000050	0.000562
오후 5:01:07.735 	0.000005	0.000058	0.000560
오후 5:01:07.736 	0.000001	0.000053	0.000557
오후 5:01:07.736 	0.000001	0.000046	0.000555
오후 5:01:07.737 	0.000000	0.000042	0.000553
오후 5:01:07.737 	0.000004	0.000042	0.000550
오후 5:01:07.742 	0.000002	0.000039	0.000548
오후 5:01:07.742 	0.000006	0.000044	0.000545
오후 5:01:07.760 	-0.000009	0.000031	0.000543
오후 5:01:07.760 	-0.000009	0.000033	0.000541
오후 5:01:07.762 	-0.000001	0.000038	0.000539
오후 5:01:07.762 	0.000005	0.000042	0.000536
오후 5:01:07.763 	0.000001	0.000036	0.000534
오후 5:01:07.763 	0.000009	0.000046	0.000532
오후 5:01:07.764 	0.000006	0.000050	0.000531
오후 5:01:07.764 	0.000003	0.000052	0.000528
오후 5:01:07.765 	-0.000008	0.000037	0.000527
오후 5:01:07.765 	0.000011	0.000046	0.000525
오후 5:01:07.766 	0.000011	0.000046	0.000524
오후 5:01:07.766 	0.000004	0.000041	0.000523
오후 5:01:07.767 	0.000008	0.000039	0.000522
오후 5:01:07.767 	0.000012	0.000043	0.000520
오후 5:01:07.768 	0.000008	0.000044	0.000520
오후 5:01:07.768 	0.000000	0.000039	0.000519
오후 5:01:07.769 	0.000004	0.000034	0.000519
오후 5:01:07.769 	0.000003	0.000038	0.000518
오후 5:01:07.785 	-0.000002	0.000036	0.000518
오후 5:01:07.785 	-0.000002	0.000039	0.000517
오후 5:01:07.786 	-0.000006	0.000034	0.000517
오후 5:01:07.786 	-0.000003	0.000036	0.000517
오후 5:01:07.787 	-0.000004	0.000028	0.000517
오후 5:01:07.787 	0.000000	0.000039	0.000517
오후 5:01:07.788 	-0.000004	0.000037	0.000517
오후 5:01:07.788 	0.000001	0.000034	0.000517
오후 5:01:07.789 	0.000005	0.000029	0.000518
오후 5:01:07.789 	0.000014	0.000041	0.000518
오후 5:01:07.791 	0.000014	0.000044	0.000518
오후 5:01:07.791 	0.000019	0.000045	0.000518
오후 5:01:07.792 	0.000015	0.000035	0.000519
오후 5:01:07.792 	0.000004	0.000033	0.000519
오후 5:01:07.793 	0.000008	0.000038	0.000519
오후 5:01:07.793 	0.000006	0.000042	0.000520
오후 5:01:07.794 	0.000005	0.000035	0.000520
오후 5:01:07.794 	0.000006	0.000036	0.000520
오후 5:01:07.805 	-0.000000	0.000033	0.000521
오후 5:01:07.805 	-0.000001	0.000030	0.000521
오후 5:01:07.807 	-0.000003	0.000024	0.000521
오후 5:01:07.807 	-0.000003	0.000026	0.000522
오후 5:01:07.808 	0.000000	0.000027	0.000522
오후 5:01:07.808 	-0.000001	0.000027	0.000522
오후 5:01:07.809 	-0.000002	0.000030	0.000522
오후 5:01:07.809 	-0.000005	0.000020	0.000522
오후 5:01:07.810 	-0.000012	0.000021	0.000522
오후 5:01:07.810 	-0.000008	0.000024	0.000523
오후 5:01:07.811 	0.000001	0.000026	0.000523
오후 5:01:07.811 	0.000004	0.000030	0.000523
오후 5:01:07.812 	0.000004	0.000038	0.000523
오후 5:01:07.812 	0.000000	0.000034	0.000523
오후 5:01:07.813 	0.000013	0.000043	0.000523
오후 5:01:07.813 	0.000011	0.000040	0.000523
