Time	EEG_Fp1	EEG_Fp2	PPG
오후 5:00:14.009 	-0.000048	-0.000034	0.000519
오후 5:00:14.009 	-0.000052	-0.000034	0.000519
오후 5:00:14.017 	-0.000056	-0.000035	0.000520
오후 5:00:14.017 	-0.000055	-0.000030	0.000520
오후 5:00:14.023 	-0.000042	-0.000022	0.000520
오후 5:00:14.023 	-0.000049	-0.000030	0.000520
오후 5:00:14.036 	-0.000046	-0.000020	0.000520
오후 5:00:14.036 	-0.000038	-0.000018	0.000520
오후 5:00:14.058 	-0.000044	-0.000023	0.000520
오후 5:00:14.058 	-0.000055	-0.000030	0.000520
오후 5:00:14.083 	-0.000050	-0.000025	0.000521
오후 5:00:14.083 	-0.000042	-0.000017	0.000521
오후 5:00:14.109 	-0.000038	-0.000017	0.000521
오후 5:00:14.109 	-0.000041	-0.000024	0.000521
오후 5:00:14.114 	-0.000045	-0.000030	0.000521
오후 5:00:14.114 	-0.000046	-0.000024	0.000521
오후 5:00:14.133 	-0.000043	-0.000026	0.000521
오후 5:00:14.133 	-0.000046	-0.000021	0.000521
오후 5:00:14.159 	-0.000046	-0.000019	0.000521
오후 5:00:14.159 	-0.000048	-0.000024	0.000521
오후 5:00:14.184 	-0.000050	-0.000022	0.000521
오후 5:00:14.184 	-0.000050	-0.000024	0.000522
오후 5:00:14.208 	-0.000048	-0.000029	0.000522
오후 5:00:14.208 	-0.000051	-0.000025	0.000522
오후 5:00:14.234 	-0.000049	-0.000025	0.000522
오후 5:00:14.234 	-0.000049	-0.000033	0.000522
오후 5:00:14.259 	-0.000051	-0.000036	0.000522
오후 5:00:14.259 	-0.000045	-0.000026	0.000522
오후 5:00:14.284 	-0.000049	-0.000025	0.000522
오후 5:00:14.284 	-0.000043	-0.000025	0.000522
오후 5:00:14.309 	-0.000042	-0.000035	0.000522
오후 5:00:14.309 	-0.000045	-0.000034	0.000522
오후 5:00:14.339 	-0.000051	-0.000032	0.000522
오후 5:00:14.339 	-0.000040	-0.000029	0.000522
오후 5:00:14.359 	-0.000044	-0.000038	0.000522
오후 5:00:14.359 	-0.000042	-0.000035	0.000522
오후 5:00:14.387 	-0.000042	-0.000034	0.000522
오후 5:00:14.387 	-0.000038	-0.000033	0.000522
오후 5:00:14.393 	-0.000042	-0.000040	0.000523
오후 5:00:14.393 	-0.000043	-0.000044	0.000523
오후 5:00:14.408 	-0.000041	-0.000040	0.000523
오후 5:00:14.408 	-0.000038	-0.000037	0.000523
오후 5:00:14.409 	-0.000045	-0.000054	0.000523
오후 5:00:14.409 	-0.000049	-0.000059	0.000523
오후 5:00:14.410 	-0.000057	-0.000062	0.000523
오후 5:00:14.410 	-0.000055	-0.000061	0.000523
오후 5:00:14.412 	-0.000051	-0.000063	0.000523
오후 5:00:14.412 	-0.000041	-0.000058	0.000523
오후 5:00:14.432 	-0.000043	-0.000055	0.000523
오후 5:00:14.432 	-0.000043	-0.000049	0.000524
오후 5:00:14.434 	-0.000045	-0.000056	0.000524
오후 5:00:14.434 	-0.000049	-0.000068	0.000524
오후 5:00:14.436 	-0.000036	-0.000061	0.000525
오후 5:00:14.436 	-0.000041	-0.000054	0.000525
오후 5:00:14.437 	-0.000045	-0.000046	0.000526
오후 5:00:14.437 	-0.000034	-0.000049	0.000527
오후 5:00:14.446 	-0.000034	-0.000050	0.000528
오후 5:00:14.446 	-0.000033	-0.000048	0.000529
오후 5:00:14.454 	-0.000034	-0.000053	0.000530
오후 5:00:14.454 	-0.000034	-0.000055	0.000532
오후 5:00:14.467 	-0.000038	-0.000057	0.000534
오후 5:00:14.467 	-0.000051	-0.000064	0.000536
오후 5:00:14.468 	-0.000057	-0.000073	0.000539
오후 5:00:14.468 	-0.000051	-0.000069	0.000542
오후 5:00:14.469 	-0.000055	-0.000072	0.000546
오후 5:00:14.469 	-0.000050	-0.000065	0.000549
오후 5:00:14.470 	-0.000058	-0.000067	0.000553
오후 5:00:14.470 	-0.000057	-0.000070	0.000557
오후 5:00:14.486 	-0.000045	-0.000068	0.000561
오후 5:00:14.486 	-0.000041	-0.000064	0.000565
오후 5:00:14.489 	-0.000046	-0.000064	0.000569
오후 5:00:14.489 	-0.000050	-0.000067	0.000573
오후 5:00:14.491 	-0.000045	-0.000068	0.000577
오후 5:00:14.491 	-0.000046	-0.000063	0.000580
오후 5:00:14.509 	-0.000047	-0.000063	0.000583
오후 5:00:14.509 	-0.000042	-0.000060	0.000586
오후 5:00:14.511 	-0.000032	-0.000054	0.000588
오후 5:00:14.511 	-0.000035	-0.000057	0.000589
오후 5:00:14.512 	-0.000035	-0.000064	0.000591
오후 5:00:14.512 	-0.000035	-0.000053	0.000591
오후 5:00:14.537 	-0.000034	-0.000051	0.000591
오후 5:00:14.537 	-0.000037	-0.000055	0.000591
오후 5:00:14.538 	-0.000055	-0.000069	0.000591
오후 5:00:14.538 	-0.000070	-0.000076	0.000590
오후 5:00:14.539 	-0.000065	-0.000045	0.000589
오후 5:00:14.539 	-0.000047	-0.000030	0.000587
오후 5:00:14.559 	-0.000040	-0.000025	0.000586
오후 5:00:14.559 	-0.000043	-0.000021	0.000584
오후 5:00:14.560 	-0.000028	-0.000022	0.000581
오후 5:00:14.560 	-0.000037	-0.000038	0.000579
오후 5:00:14.562 	-0.000035	-0.000038	0.000577
오후 5:00:14.562 	-0.000037	-0.000025	0.000574
오후 5:00:14.587 	-0.000028	-0.000018	0.000572
오후 5:00:14.587 	-0.000040	-0.000034	0.000569
오후 5:00:14.588 	-0.000051	-0.000047	0.000567
오후 5:00:14.588 	-0.000054	-0.000042	0.000564
오후 5:00:14.589 	-0.000057	-0.000044	0.000561
오후 5:00:14.589 	-0.000063	-0.000046	0.000559
오후 5:00:14.590 	-0.000051	-0.000040	0.000557
오후 5:00:14.590 	-0.000043	-0.000030	0.000554
오후 5:00:14.609 	-0.000051	-0.000032	0.000552
오후 5:00:14.609 	-0.000050	-0.000031	0.000549
오후 5:00:14.611 	-0.000054	-0.000038	0.000546
오후 5:00:14.611 	-0.000049	-0.000025	0.000544
오후 5:00:14.612 	-0.000042	-0.000019	0.000541
오후 5:00:14.612 	-0.000041	-0.000018	0.000539
