Time	EEG_Fp1	EEG_Fp2	PPG
오후 4:59:11.122 	-0.000103	-0.000038	0.000530
오후 4:59:11.122 	-0.000109	-0.000037	0.000533
오후 4:59:11.135 	-0.000105	-0.000035	0.000537
오후 4:59:11.135 	-0.000114	-0.000048	0.000542
오후 4:59:11.158 	-0.000110	-0.000041	0.000547
오후 4:59:11.158 	-0.000099	-0.000024	0.000553
오후 4:59:11.184 	-0.000107	-0.000031	0.000560
오후 4:59:11.184 	-0.000111	-0.000043	0.000567
오후 4:59:11.186 	-0.000110	-0.000042	0.000573
오후 4:59:11.186 	-0.000108	-0.000040	0.000580
오후 4:59:11.211 	-0.000110	-0.000038	0.000587
오후 4:59:11.211 	-0.000110	-0.000046	0.000593
오후 4:59:11.238 	-0.000111	-0.000042	0.000599
오후 4:59:11.238 	-0.000112	-0.000034	0.000605
오후 4:59:11.260 	-0.000112	-0.000029	0.000610
오후 4:59:11.260 	-0.000108	-0.000036	0.000614
오후 4:59:11.283 	-0.000119	-0.000050	0.000617
오후 4:59:11.283 	-0.000109	-0.000041	0.000620
오후 4:59:11.311 	-0.000112	-0.000049	0.000622
오후 4:59:11.311 	-0.000098	-0.000038	0.000624
오후 4:59:11.332 	-0.000095	-0.000037	0.000625
오후 4:59:11.332 	-0.000095	-0.000034	0.000625
오후 4:59:11.360 	-0.000103	-0.000035	0.000624
오후 4:59:11.360 	-0.000106	-0.000038	0.000624
오후 4:59:11.386 	-0.000099	-0.000035	0.000622
오후 4:59:11.386 	-0.000095	-0.000035	0.000620
오후 4:59:11.412 	-0.000098	-0.000038	0.000618
오후 4:59:11.412 	-0.000097	-0.000036	0.000616
오후 4:59:11.434 	-0.000095	-0.000040	0.000613
오후 4:59:11.434 	-0.000098	-0.000041	0.000611
오후 4:59:11.435 	-0.000097	-0.000038	0.000608
오후 4:59:11.435 	-0.000096	-0.000036	0.000604
오후 4:59:11.436 	-0.000092	-0.000037	0.000601
오후 4:59:11.436 	-0.000091	-0.000037	0.000598
오후 4:59:11.459 	-0.000089	-0.000029	0.000594
오후 4:59:11.459 	-0.000098	-0.000045	0.000591
오후 4:59:11.460 	-0.000117	-0.000067	0.000587
오후 4:59:11.460 	-0.000102	-0.000043	0.000584
오후 4:59:11.461 	-0.000088	-0.000022	0.000580
오후 4:59:11.461 	-0.000089	-0.000023	0.000576
오후 4:59:11.484 	-0.000111	-0.000046	0.000573
오후 4:59:11.484 	-0.000095	-0.000036	0.000569
오후 4:59:11.485 	-0.000105	-0.000054	0.000566
오후 4:59:11.485 	-0.000113	-0.000056	0.000562
오후 4:59:11.487 	-0.000111	-0.000054	0.000558
오후 4:59:11.487 	-0.000111	-0.000060	0.000555
오후 4:59:11.488 	-0.000109	-0.000060	0.000551
오후 4:59:11.488 	-0.000108	-0.000055	0.000548
오후 4:59:11.510 	-0.000112	-0.000052	0.000544
오후 4:59:11.510 	-0.000111	-0.000061	0.000540
오후 4:59:11.511 	-0.000111	-0.000059	0.000536
오후 4:59:11.511 	-0.000110	-0.000055	0.000532
오후 4:59:11.513 	-0.000106	-0.000054	0.000529
오후 4:59:11.513 	-0.000115	-0.000060	0.000527
오후 4:59:11.534 	-0.000112	-0.000059	0.000523
오후 4:59:11.534 	-0.000107	-0.000060	0.000520
오후 4:59:11.535 	-0.000100	-0.000045	0.000518
오후 4:59:11.535 	-0.000099	-0.000047	0.000515
오후 4:59:11.536 	-0.000103	-0.000049	0.000513
오후 4:59:11.536 	-0.000099	-0.000047	0.000511
오후 4:59:11.559 	-0.000094	-0.000042	0.000509
오후 4:59:11.559 	-0.000105	-0.000050	0.000508
오후 4:59:11.560 	-0.000105	-0.000054	0.000506
오후 4:59:11.560 	-0.000101	-0.000051	0.000506
오후 4:59:11.562 	-0.000111	-0.000057	0.000505
오후 4:59:11.562 	-0.000109	-0.000057	0.000504
오후 4:59:11.587 	-0.000104	-0.000054	0.000504
오후 4:59:11.587 	-0.000106	-0.000060	0.000503
오후 4:59:11.587 	-0.000104	-0.000059	0.000503
오후 4:59:11.587 	-0.000101	-0.000058	0.000503
오후 4:59:11.589 	-0.000106	-0.000058	0.000503
오후 4:59:11.589 	-0.000101	-0.000058	0.000504
오후 4:59:11.615 	-0.000104	-0.000059	0.000504
오후 4:59:11.615 	-0.000106	-0.000055	0.000504
오후 4:59:11.616 	-0.000106	-0.000048	0.000505
오후 4:59:11.616 	-0.000101	-0.000050	0.000505
오후 4:59:11.617 	-0.000108	-0.000056	0.000506
오후 4:59:11.617 	-0.000100	-0.000044	0.000506
오후 4:59:11.619 	-0.000109	-0.000048	0.000507
오후 4:59:11.619 	-0.000100	-0.000054	0.000507
오후 4:59:11.620 	-0.000104	-0.000057	0.000508
오후 4:59:11.620 	-0.000103	-0.000052	0.000509
오후 4:59:11.621 	-0.000111	-0.000060	0.000509
오후 4:59:11.621 	-0.000111	-0.000068	0.000510
오후 4:59:11.643 	-0.000100	-0.000059	0.000510
오후 4:59:11.643 	-0.000106	-0.000068	0.000511
오후 4:59:11.645 	-0.000102	-0.000052	0.000511
오후 4:59:11.645 	-0.000097	-0.000047	0.000511
오후 4:59:11.646 	-0.000089	-0.000046	0.000511
오후 4:59:11.646 	-0.000089	-0.000046	0.000512
오후 4:59:11.648 	-0.000095	-0.000046	0.000512
오후 4:59:11.648 	-0.000095	-0.000049	0.000512
오후 4:59:11.649 	-0.000090	-0.000050	0.000512
오후 4:59:11.649 	-0.000101	-0.000058	0.000512
오후 4:59:11.651 	-0.000102	-0.000055	0.000512
오후 4:59:11.651 	-0.000095	-0.000046	0.000512
오후 4:59:11.652 	-0.000091	-0.000045	0.000512
오후 4:59:11.652 	-0.000077	-0.000039	0.000512
오후 4:59:11.668 	-0.000080	-0.000038	0.000512
오후 4:59:11.668 	-0.000094	-0.000036	0.000512
오후 4:59:11.670 	-0.000095	-0.000042	0.000511
오후 4:59:11.670 	-0.000096	-0.000051	0.000511
오후 4:59:11.671 	-0.000097	-0.000052	0.000511
오후 4:59:11.671 	-0.000089	-0.000045	0.000511
오후 4:59:11.673 	-0.000093	-0.000046	0.000511
오후 4:59:11.673 	-0.000091	-0.000049	0.000511
오후 4:59:11.674 	-0.000088	-0.000046	0.000511
오후 4:59:11.674 	-0.000094	-0.000046	0.000511
오후 4:59:11.675 	-0.000091	-0.000047	0.000511
오후 4:59:11.675 	-0.000094	-0.000058	0.000511
오후 4:59:11.676 	-0.000095	-0.000058	0.000511
오후 4:59:11.676 	-0.000089	-0.000054	0.000511
오후 4:59:11.678 	-0.000084	-0.000045	0.000511
오후 4:59:11.678 	-0.000089	-0.000051	0.000511
오후 4:59:11.689 	-0.000076	-0.000041	0.000511
오후 4:59:11.689 	-0.000080	-0.000041	0.000511
오후 4:59:11.690 	-0.000083	-0.000047	0.000511
오후 4:59:11.690 	-0.000084	-0.000053	0.000511
오후 4:59:11.691 	-0.000085	-0.000055	0.000511
오후 4:59:11.691 	-0.000080	-0.000053	0.000511
오후 4:59:11.692 	-0.000077	-0.000050	0.000511
오후 4:59:11.692 	-0.000082	-0.000057	0.000511
오후 4:59:11.693 	-0.000085	-0.000061	0.000511
오후 4:59:11.693 	-0.000088	-0.000059	0.000512
오후 4:59:11.716 	-0.000069	-0.000043	0.000512
오후 4:59:11.716 	-0.000072	-0.000046	0.000512
오후 4:59:11.718 	-0.000079	-0.000043	0.000512
오후 4:59:11.718 	-0.000077	-0.000043	0.000513
오후 4:59:11.719 	-0.000074	-0.000043	0.000513
오후 4:59:11.719 	-0.000072	-0.000039	0.000513
오후 4:59:11.720 	-0.000077	-0.000047	0.000513
오후 4:59:11.720 	-0.000064	-0.000038	0.000514
오후 4:59:11.721 	-0.000066	-0.000032	0.000514
오후 4:59:11.721 	-0.000073	-0.000042	0.000514
오후 4:59:11.723 	-0.000065	-0.000035	0.000514
오후 4:59:11.723 	-0.000068	-0.000042	0.000514
오후 4:59:11.724 	-0.000069	-0.000043	0.000515
오후 4:59:11.724 	-0.000071	-0.000044	0.000515
오후 4:59:11.725 	-0.000070	-0.000051	0.000515
오후 4:59:11.725 	-0.000073	-0.000056	0.000515
오후 4:59:11.726 	-0.000063	-0.000042	0.000515
오후 4:59:11.726 	-0.000064	-0.000040	0.000515
오후 4:59:11.744 	-0.000066	-0.000038	0.000515
오후 4:59:11.744 	-0.000066	-0.000035	0.000516
오후 4:59:11.745 	-0.000062	-0.000033	0.000516
오후 4:59:11.745 	-0.000074	-0.000042	0.000516
오후 4:59:11.746 	-0.000077	-0.000040	0.000517
오후 4:59:11.746 	-0.000069	-0.000043	0.000517
오후 4:59:11.748 	-0.000072	-0.000044	0.000517
오후 4:59:11.748 	-0.000066	-0.000038	0.000518
오후 4:59:11.749 	-0.000057	-0.000030	0.000519
오후 4:59:11.749 	-0.000067	-0.000039	0.000519
오후 4:59:11.750 	-0.000062	-0.000039	0.000520
오후 4:59:11.750 	-0.000065	-0.000038	0.000521
오후 4:59:11.752 	-0.000061	-0.000034	0.000523
오후 4:59:11.752 	-0.000071	-0.000039	0.000524
오후 4:59:11.753 	-0.000064	-0.000038	0.000527
오후 4:59:11.753 	-0.000064	-0.000040	0.000529
오후 4:59:11.764 	-0.000072	-0.000039	0.000532
오후 4:59:11.764 	-0.000069	-0.000038	0.000537
오후 4:59:11.766 	-0.000067	-0.000041	0.000542
오후 4:59:11.766 	-0.000064	-0.000036	0.000547
오후 4:59:11.767 	-0.000062	-0.000036	0.000553
오후 4:59:11.767 	-0.000060	-0.000025	0.000560
오후 4:59:11.768 	-0.000070	-0.000039	0.000567
오후 4:59:11.768 	-0.000074	-0.000040	0.000574
오후 4:59:11.770 	-0.000075	-0.000042	0.000581
오후 4:59:11.770 	-0.000078	-0.000037	0.000588
오후 4:59:11.771 	-0.000074	-0.000036	0.000595
오후 4:59:11.771 	-0.000072	-0.000038	0.000601
오후 4:59:11.772 	-0.000076	-0.000040	0.000606
오후 4:59:11.772 	-0.000076	-0.000038	0.000611
오후 4:59:11.773 	-0.000075	-0.000036	0.000615
오후 4:59:11.773 	-0.000073	-0.000038	0.000619
오후 4:59:11.783 	-0.000074	-0.000038	0.000621
오후 4:59:11.783 	-0.000071	-0.000035	0.000624
오후 4:59:11.784 	-0.000066	-0.000033	0.000625
오후 4:59:11.784 	-0.000069	-0.000042	0.000626
오후 4:59:11.786 	-0.000067	-0.000041	0.000626
오후 4:59:11.786 	-0.000069	-0.000040	0.000625
오후 4:59:11.787 	-0.000076	-0.000038	0.000625
오후 4:59:11.787 	-0.000104	-0.000059	0.000623
오후 4:59:11.788 	-0.000093	-0.000065	0.000621
오후 4:59:11.788 	-0.000043	-0.000029	0.000619
오후 4:59:11.789 	-0.000034	-0.000017	0.000616
오후 4:59:11.789 	-0.000044	-0.000030	0.000614
오후 4:59:11.790 	-0.000035	-0.000015	0.000611
오후 4:59:11.790 	-0.000046	-0.000025	0.000608
오후 4:59:11.792 	-0.000035	-0.000009	0.000604
오후 4:59:11.792 	-0.000033	-0.000006	0.000601
오후 4:59:11.793 	-0.000041	-0.000010	0.000598
오후 4:59:11.793 	-0.000047	-0.000016	0.000594
오후 4:59:11.806 	-0.000044	-0.000010	0.000590
오후 4:59:11.806 	-0.000046	-0.000015	0.000587
오후 4:59:11.807 	-0.000050	-0.000023	0.000583
오후 4:59:11.807 	-0.000051	-0.000019	0.000579
오후 4:59:11.808 	-0.000056	-0.000021	0.000575
오후 4:59:11.808 	-0.000057	-0.000023	0.000572
오후 4:59:11.809 	-0.000059	-0.000026	0.000568
오후 4:59:11.809 	-0.000050	-0.000017	0.000565
오후 4:59:11.810 	-0.000053	-0.000022	0.000561
오후 4:59:11.810 	-0.000050	-0.000020	0.000557
오후 4:59:11.811 	-0.000049	-0.000021	0.000554
오후 4:59:11.811 	-0.000046	-0.000017	0.000550
오후 4:59:11.812 	-0.000038	-0.000010	0.000546
오후 4:59:11.812 	-0.000042	-0.000010	0.000542
오후 4:59:11.814 	-0.000038	-0.000002	0.000539
오후 4:59:11.814 	-0.000044	-0.000015	0.000535
오후 4:59:11.815 	-0.000052	-0.000019	0.000531
오후 4:59:11.815 	-0.000051	-0.000015	0.000528
오후 4:59:11.819 	-0.000054	-0.000021	0.000524
오후 4:59:11.819 	-0.000061	-0.000036	0.000521
오후 4:59:11.826 	-0.000048	-0.000026	0.000518
오후 4:59:11.826 	-0.000052	-0.000021	0.000515
오후 4:59:11.828 	-0.000049	-0.000017	0.000513
오후 4:59:11.828 	-0.000054	-0.000023	0.000511
오후 4:59:11.829 	-0.000052	-0.000028	0.000509
오후 4:59:11.829 	-0.000046	-0.000024	0.000506
오후 4:59:11.847 	-0.000051	-0.000015	0.000505
오후 4:59:11.847 	-0.000048	-0.000022	0.000504
오후 4:59:11.848 	-0.000038	-0.000016	0.000503
오후 4:59:11.848 	-0.000046	-0.000021	0.000502
오후 4:59:11.850 	-0.000045	-0.000017	0.000501
오후 4:59:11.850 	-0.000049	-0.000022	0.000501
오후 4:59:11.851 	-0.000042	-0.000020	0.000500
오후 4:59:11.851 	-0.000044	-0.000020	0.000500
오후 4:59:11.852 	-0.000031	-0.000003	0.000500
오후 4:59:11.852 	-0.000047	-0.000018	0.000500
오후 4:59:11.853 	-0.000046	-0.000019	0.000501
오후 4:59:11.853 	-0.000054	-0.000022	0.000501
오후 4:59:11.854 	-0.000047	-0.000017	0.000501
오후 4:59:11.854 	-0.000047	-0.000017	0.000502
오후 4:59:11.855 	-0.000052	-0.000027	0.000502
오후 4:59:11.855 	-0.000045	-0.000024	0.000502
오후 4:59:11.857 	-0.000045	-0.000021	0.000503
오후 4:59:11.857 	-0.000053	-0.000025	0.000503
오후 4:59:11.872 	-0.000047	-0.000028	0.000504
오후 4:59:11.872 	-0.000037	-0.000013	0.000505
오후 4:59:11.904 	-0.000037	-0.000007	0.000505
오후 4:59:11.904 	-0.000033	0.000000	0.000506
오후 4:59:11.908 	-0.000028	-0.000004	0.000506
오후 4:59:11.908 	-0.000043	-0.000018	0.000506
오후 4:59:11.909 	-0.000053	-0.000022	0.000506
오후 4:59:11.909 	-0.000045	-0.000016	0.000507
오후 4:59:11.911 	-0.000046	-0.000020	0.000507
오후 4:59:11.911 	-0.000045	-0.000020	0.000507
오후 4:59:11.912 	-0.000039	-0.000014	0.000508
오후 4:59:11.912 	-0.000039	-0.000015	0.000508
오후 4:59:11.913 	-0.000048	-0.000021	0.000508
오후 4:59:11.913 	-0.000043	-0.000021	0.000508
오후 4:59:11.925 	-0.000047	-0.000025	0.000509
오후 4:59:11.925 	-0.000047	-0.000021	0.000509
오후 4:59:11.926 	-0.000050	-0.000024	0.000509
오후 4:59:11.926 	-0.000034	-0.000015	0.000509
오후 4:59:11.927 	-0.000046	-0.000027	0.000509
오후 4:59:11.927 	-0.000041	-0.000017	0.000508
오후 4:59:11.928 	-0.000048	-0.000021	0.000509
오후 4:59:11.928 	-0.000051	-0.000022	0.000509
오후 4:59:11.930 	-0.000044	-0.000020	0.000508
오후 4:59:11.930 	-0.000044	-0.000021	0.000508
오후 4:59:11.931 	-0.000045	-0.000020	0.000508
오후 4:59:11.931 	-0.000039	-0.000012	0.000508
오후 4:59:11.932 	-0.000039	-0.000015	0.000508
오후 4:59:11.932 	-0.000039	-0.000017	0.000508
오후 4:59:11.934 	-0.000041	-0.000016	0.000508
오후 4:59:11.934 	-0.000044	-0.000014	0.000508
오후 4:59:11.937 	-0.000040	-0.000022	0.000508
오후 4:59:11.937 	-0.000034	-0.000017	0.000509
오후 4:59:11.967 	-0.000038	-0.000013	0.000509
