Time	EEG_Fp1	EEG_Fp2	PPG
오후 6:05:02.355 	-0.000025	-0.000137	0.000518
오후 6:05:02.355 	-0.000034	-0.000149	0.000518
오후 6:05:02.377 	-0.000038	-0.000153	0.000518
오후 6:05:02.377 	-0.000023	-0.000133	0.000518
오후 6:05:02.402 	-0.000012	-0.000120	0.000518
오후 6:05:02.402 	-0.000020	-0.000130	0.000518
오후 6:05:02.429 	-0.000029	-0.000141	0.000518
오후 6:05:02.429 	-0.000021	-0.000129	0.000518
오후 6:05:02.454 	-0.000012	-0.000116	0.000518
오후 6:05:02.454 	-0.000026	-0.000128	0.000518
오후 6:05:02.461 	-0.000029	-0.000139	0.000517
오후 6:05:02.461 	-0.000019	-0.000128	0.000517
오후 6:05:02.484 	-0.000006	-0.000112	0.000517
오후 6:05:02.484 	-0.000014	-0.000114	0.000517
오후 6:05:02.502 	-0.000022	-0.000126	0.000517
오후 6:05:02.502 	-0.000023	-0.000125	0.000517
오후 6:05:02.528 	-0.000017	-0.000114	0.000518
오후 6:05:02.528 	-0.000007	-0.000109	0.000518
오후 6:05:02.534 	-0.000011	-0.000118	0.000518
오후 6:05:02.534 	-0.000029	-0.000131	0.000518
오후 6:05:02.554 	-0.000012	-0.000112	0.000518
오후 6:05:02.554 	-0.000010	-0.000111	0.000518
오후 6:05:02.578 	-0.000025	-0.000119	0.000518
오후 6:05:02.578 	-0.000023	-0.000127	0.000518
오후 6:05:02.604 	-0.000023	-0.000118	0.000518
오후 6:05:02.604 	-0.000008	-0.000102	0.000518
오후 6:05:02.628 	-0.000006	-0.000107	0.000518
오후 6:05:02.628 	-0.000014	-0.000113	0.000518
오후 6:05:02.653 	-0.000014	-0.000112	0.000518
오후 6:05:02.653 	0.000001	-0.000096	0.000518
오후 6:05:02.680 	-0.000013	-0.000104	0.000518
오후 6:05:02.680 	-0.000020	-0.000108	0.000518
오후 6:05:02.705 	-0.000037	-0.000112	0.000518
오후 6:05:02.705 	-0.000037	-0.000107	0.000518
오후 6:05:02.727 	-0.000030	-0.000107	0.000518
오후 6:05:02.727 	-0.000030	-0.000109	0.000519
오후 6:05:02.753 	-0.000030	-0.000112	0.000519
오후 6:05:02.753 	-0.000012	-0.000101	0.000519
오후 6:05:02.753 	-0.000002	-0.000089	0.000519
오후 6:05:02.753 	-0.000015	-0.000100	0.000519
오후 6:05:02.755 	-0.000033	-0.000120	0.000519
오후 6:05:02.755 	-0.000028	-0.000105	0.000518
오후 6:05:02.783 	-0.000013	-0.000088	0.000519
오후 6:05:02.783 	-0.000022	-0.000097	0.000518
오후 6:05:02.785 	-0.000043	-0.000116	0.000519
오후 6:05:02.785 	-0.000030	-0.000101	0.000518
오후 6:05:02.786 	-0.000030	-0.000095	0.000518
오후 6:05:02.786 	-0.000028	-0.000097	0.000518
오후 6:05:02.806 	-0.000031	-0.000099	0.000518
오후 6:05:02.806 	-0.000042	-0.000101	0.000518
오후 6:05:02.808 	-0.000035	-0.000095	0.000518
오후 6:05:02.808 	-0.000030	-0.000089	0.000518
오후 6:05:02.809 	-0.000041	-0.000102	0.000518
오후 6:05:02.809 	-0.000025	-0.000087	0.000518
오후 6:05:02.831 	-0.000034	-0.000088	0.000518
오후 6:05:02.831 	-0.000021	-0.000079	0.000518
오후 6:05:02.832 	-0.000021	-0.000083	0.000518
오후 6:05:02.832 	-0.000034	-0.000092	0.000518
오후 6:05:02.834 	-0.000029	-0.000089	0.000518
오후 6:05:02.834 	-0.000031	-0.000077	0.000518
오후 6:05:02.836 	-0.000033	-0.000080	0.000518
오후 6:05:02.836 	-0.000051	-0.000102	0.000518
오후 6:05:02.861 	-0.000042	-0.000092	0.000518
오후 6:05:02.861 	-0.000026	-0.000075	0.000518
오후 6:05:02.863 	-0.000029	-0.000073	0.000518
오후 6:05:02.863 	-0.000046	-0.000097	0.000518
오후 6:05:02.866 	-0.000034	-0.000081	0.000518
오후 6:05:02.866 	-0.000033	-0.000079	0.000518
오후 6:05:02.880 	-0.000025	-0.000073	0.000517
오후 6:05:02.880 	-0.000036	-0.000084	0.000517
오후 6:05:02.882 	-0.000039	-0.000087	0.000517
오후 6:05:02.882 	-0.000040	-0.000087	0.000517
오후 6:05:02.884 	-0.000031	-0.000080	0.000517
오후 6:05:02.884 	-0.000043	-0.000088	0.000517
오후 6:05:02.889 	-0.000048	-0.000097	0.000517
오후 6:05:02.889 	-0.000038	-0.000088	0.000517
오후 6:05:02.893 	-0.000033	-0.000077	0.000517
오후 6:05:02.893 	-0.000042	-0.000093	0.000517
오후 6:05:02.903 	-0.000050	-0.000099	0.000517
오후 6:05:02.903 	-0.000043	-0.000090	0.000517
오후 6:05:02.913 	-0.000025	-0.000068	0.000517
오후 6:05:02.913 	-0.000025	-0.000072	0.000517
오후 6:05:02.915 	-0.000032	-0.000076	0.000517
오후 6:05:02.915 	-0.000030	-0.000076	0.000517
오후 6:05:02.917 	-0.000013	-0.000057	0.000517
오후 6:05:02.917 	-0.000018	-0.000055	0.000517
오후 6:05:02.918 	-0.000019	-0.000058	0.000517
오후 6:05:02.918 	-0.000013	-0.000052	0.000517
오후 6:05:02.935 	-0.000012	-0.000051	0.000517
오후 6:05:02.935 	0.000008	-0.000025	0.000518
오후 6:05:02.936 	0.000004	-0.000026	0.000517
오후 6:05:02.936 	-0.000011	-0.000040	0.000518
오후 6:05:02.938 	0.000006	-0.000023	0.000517
오후 6:05:02.938 	0.000025	-0.000001	0.000518
오후 6:05:02.970 	0.000011	-0.000017	0.000517
오후 6:05:02.970 	0.000019	-0.000002	0.000518
오후 6:05:02.972 	0.000022	-0.000004	0.000517
오후 6:05:02.972 	0.000036	0.000018	0.000517
오후 6:05:02.973 	0.000044	0.000030	0.000517
오후 6:05:02.973 	0.000030	0.000026	0.000517
오후 6:05:02.974 	0.000066	0.000073	0.000517
오후 6:05:02.974 	0.000097	0.000089	0.000517
오후 6:05:03.003 	0.000098	0.000113	0.000517
오후 6:05:03.003 	0.000112	0.000127	0.000517
오후 6:05:03.004 	0.000131	0.000152	0.000516
오후 6:05:03.004 	0.000155	0.000213	0.000516
오후 6:05:03.008 	0.000162	0.000249	0.000516
오후 6:05:03.008 	0.000143	0.000236	0.000516
오후 6:05:03.009 	0.000134	0.000241	0.000515
오후 6:05:03.009 	0.000138	0.000259	0.000515
오후 6:05:03.026 	0.000121	0.000261	0.000515
오후 6:05:03.026 	0.000090	0.000244	0.000515
오후 6:05:03.027 	0.000063	0.000231	0.000515
오후 6:05:03.027 	0.000040	0.000218	0.000515
