Time	EEG_Fp1	EEG_Fp2	PPG
오후 6:08:04.430 	0.000002	-0.000016	0.000527
오후 6:08:04.430 	0.000011	-0.000011	0.000527
오후 6:08:04.453 	-0.000003	-0.000017	0.000527
오후 6:08:04.453 	-0.000005	-0.000020	0.000527
오후 6:08:04.476 	0.000008	-0.000010	0.000527
오후 6:08:04.476 	0.000005	-0.000004	0.000527
오후 6:08:04.502 	0.000004	-0.000011	0.000527
오후 6:08:04.502 	0.000021	0.000001	0.000527
오후 6:08:04.508 	0.000012	-0.000006	0.000527
오후 6:08:04.508 	-0.000006	-0.000020	0.000527
오후 6:08:04.527 	0.000013	-0.000001	0.000527
오후 6:08:04.527 	0.000008	-0.000005	0.000527
오후 6:08:04.552 	0.000008	-0.000007	0.000527
오후 6:08:04.552 	-0.000003	-0.000015	0.000527
오후 6:08:04.577 	0.000016	0.000004	0.000527
오후 6:08:04.577 	0.000013	0.000005	0.000527
오후 6:08:04.603 	-0.000002	-0.000010	0.000527
오후 6:08:04.603 	-0.000008	-0.000017	0.000527
오후 6:08:04.627 	-0.000004	-0.000010	0.000527
오후 6:08:04.627 	-0.000004	-0.000009	0.000527
오후 6:08:04.652 	0.000007	-0.000004	0.000527
오후 6:08:04.652 	0.000004	-0.000013	0.000527
오후 6:08:04.676 	0.000021	0.000004	0.000527
오후 6:08:04.676 	0.000018	0.000005	0.000527
오후 6:08:04.703 	0.000009	0.000000	0.000527
오후 6:08:04.703 	0.000000	-0.000009	0.000527
오후 6:08:04.731 	0.000001	-0.000007	0.000527
오후 6:08:04.731 	-0.000007	-0.000000	0.000528
오후 6:08:04.753 	0.000003	-0.000007	0.000528
오후 6:08:04.753 	0.000006	-0.000010	0.000528
오후 6:08:04.778 	0.000010	-0.000007	0.000528
오후 6:08:04.778 	0.000013	-0.000008	0.000528
오후 6:08:04.801 	0.000009	-0.000012	0.000528
오후 6:08:04.801 	0.000009	-0.000005	0.000528
오후 6:08:04.803 	0.000000	-0.000010	0.000528
오후 6:08:04.803 	0.000007	0.000000	0.000528
오후 6:08:04.828 	-0.000003	-0.000004	0.000528
