Time	EEG_Fp1	EEG_Fp2	PPG
오후 6:06:02.973 	-0.000030	-0.000032	0.000522
오후 6:06:02.973 	-0.000031	-0.000034	0.000522
오후 6:06:02.974 	-0.000021	-0.000021	0.000522
오후 6:06:02.974 	-0.000007	-0.000010	0.000522
오후 6:06:02.976 	-0.000014	-0.000020	0.000522
오후 6:06:02.976 	-0.000033	-0.000030	0.000522
오후 6:06:02.977 	-0.000015	-0.000014	0.000522
오후 6:06:02.977 	0.000007	0.000004	0.000522
오후 6:06:02.978 	-0.000004	-0.000012	0.000522
오후 6:06:02.978 	-0.000018	-0.000032	0.000521
오후 6:06:02.979 	-0.000008	-0.000019	0.000521
오후 6:06:02.979 	0.000013	0.000006	0.000521
오후 6:06:02.981 	0.000004	-0.000007	0.000521
오후 6:06:02.981 	-0.000021	-0.000035	0.000521
오후 6:06:02.983 	-0.000018	-0.000028	0.000521
오후 6:06:02.983 	0.000000	-0.000008	0.000521
오후 6:06:02.987 	0.000007	0.000002	0.000521
오후 6:06:02.987 	-0.000017	-0.000028	0.000521
오후 6:06:03.003 	-0.000025	-0.000034	0.000521
오후 6:06:03.003 	-0.000005	-0.000010	0.000521
오후 6:06:03.005 	0.000006	-0.000004	0.000521
오후 6:06:03.005 	-0.000017	-0.000025	0.000521
오후 6:06:03.006 	-0.000032	-0.000036	0.000521
오후 6:06:03.006 	-0.000027	-0.000030	0.000521
오후 6:06:03.007 	-0.000004	-0.000006	0.000521
오후 6:06:03.007 	-0.000017	-0.000016	0.000521
오후 6:06:03.031 	-0.000035	-0.000035	0.000521
오후 6:06:03.031 	-0.000010	-0.000012	0.000521
오후 6:06:03.044 	0.000013	0.000003	0.000521
오후 6:06:03.044 	0.000001	-0.000007	0.000521
오후 6:06:03.053 	-0.000015	-0.000024	0.000521
오후 6:06:03.053 	-0.000004	-0.000015	0.000521
오후 6:06:03.078 	0.000001	-0.000008	0.000521
오후 6:06:03.078 	0.000008	-0.000002	0.000521
오후 6:06:03.106 	-0.000005	-0.000018	0.000521
오후 6:06:03.106 	-0.000007	-0.000021	0.000521
오후 6:06:03.144 	0.000016	0.000004	0.000521
오후 6:06:03.144 	0.000014	0.000004	0.000521
오후 6:06:03.152 	0.000004	-0.000010	0.000521
오후 6:06:03.152 	-0.000010	-0.000023	0.000521
오후 6:06:03.176 	0.000008	-0.000006	0.000521
오후 6:06:03.176 	0.000028	0.000005	0.000521
오후 6:06:03.202 	0.000008	-0.000012	0.000522
오후 6:06:03.202 	-0.000001	-0.000017	0.000522
오후 6:06:03.230 	0.000000	-0.000019	0.000522
오후 6:06:03.230 	0.000015	-0.000004	0.000522
오후 6:06:03.235 	0.000007	-0.000004	0.000522
오후 6:06:03.235 	-0.000026	-0.000039	0.000522
오후 6:06:03.244 	-0.000018	-0.000031	0.000522
오후 6:06:03.244 	0.000004	-0.000009	0.000522
오후 6:06:03.259 	0.000008	-0.000006	0.000521
오후 6:06:03.259 	-0.000010	-0.000023	0.000522
오후 6:06:03.280 	-0.000012	-0.000028	0.000521
오후 6:06:03.280 	0.000002	-0.000013	0.000521
오후 6:06:03.290 	0.000008	-0.000008	0.000521
오후 6:06:03.290 	-0.000006	-0.000024	0.000521
오후 6:06:03.301 	-0.000017	-0.000034	0.000521
오후 6:06:03.301 	0.000000	-0.000020	0.000520
오후 6:06:03.307 	0.000023	0.000003	0.000520
오후 6:06:03.307 	0.000021	0.000004	0.000520
오후 6:06:03.314 	-0.000009	-0.000028	0.000520
오후 6:06:03.314 	0.000004	-0.000015	0.000520
오후 6:06:03.343 	0.000026	0.000010	0.000520
오후 6:06:03.343 	0.000018	0.000010	0.000520
오후 6:06:03.354 	0.000003	-0.000005	0.000520
오후 6:06:03.354 	-0.000003	-0.000014	0.000519
오후 6:06:03.383 	0.000015	0.000008	0.000519
오후 6:06:03.383 	0.000015	0.000013	0.000519
오후 6:06:03.409 	0.000001	-0.000003	0.000519
오후 6:06:03.409 	-0.000010	-0.000015	0.000519
오후 6:06:03.432 	0.000001	-0.000004	0.000519
오후 6:06:03.432 	0.000016	0.000005	0.000519
오후 6:06:03.459 	-0.000016	-0.000017	0.000519
오후 6:06:03.459 	-0.000038	-0.000035	0.000520
오후 6:06:03.463 	-0.000024	-0.000025	0.000520
오후 6:06:03.463 	-0.000004	-0.000004	0.000520
오후 6:06:03.483 	-0.000012	-0.000014	0.000520
오후 6:06:03.483 	-0.000035	-0.000038	0.000520
오후 6:06:03.510 	-0.000031	-0.000031	0.000520
오후 6:06:03.510 	-0.000018	-0.000016	0.000520
오후 6:06:03.541 	-0.000008	-0.000012	0.000520
오후 6:06:03.541 	-0.000022	-0.000025	0.000520
오후 6:06:03.560 	-0.000014	-0.000018	0.000520
오후 6:06:03.560 	0.000006	0.000003	0.000521
오후 6:06:03.572 	0.000016	0.000013	0.000521
오후 6:06:03.572 	-0.000010	-0.000008	0.000521
오후 6:06:03.580 	-0.000017	-0.000015	0.000521
오후 6:06:03.580 	-0.000004	0.000003	0.000521
오후 6:06:03.606 	0.000011	0.000017	0.000521
오후 6:06:03.606 	-0.000010	-0.000005	0.000521
오후 6:06:03.634 	-0.000028	-0.000023	0.000521
오후 6:06:03.634 	-0.000016	-0.000008	0.000522
오후 6:06:03.661 	0.000004	0.000010	0.000522
오후 6:06:03.661 	-0.000011	-0.000007	0.000522
오후 6:06:03.662 	-0.000027	-0.000020	0.000522
오후 6:06:03.662 	-0.000014	-0.000012	0.000522
오후 6:06:03.683 	-0.000005	0.000002	0.000522
오후 6:06:03.683 	-0.000013	-0.000004	0.000522
오후 6:06:03.684 	-0.000039	-0.000030	0.000522
오후 6:06:03.684 	-0.000037	-0.000027	0.000522
오후 6:06:03.696 	-0.000012	-0.000000	0.000522
오후 6:06:03.696 	-0.000009	0.000004	0.000522
오후 6:06:03.727 	-0.000029	-0.000018	0.000522
오후 6:06:03.727 	-0.000021	-0.000017	0.000522
오후 6:06:03.736 	-0.000012	-0.000002	0.000522
