Time	EEG_Fp1	EEG_Fp2	PPG
오후 4:54:12.367 	-0.000054	-0.000135	0.000489
오후 4:54:12.367 	-0.000048	-0.000124	0.000497
오후 4:54:12.384 	-0.000058	-0.000142	0.000506
오후 4:54:12.384 	-0.000056	-0.000147	0.000515
오후 4:54:12.408 	-0.000049	-0.000129	0.000526
오후 4:54:12.408 	-0.000047	-0.000119	0.000536
오후 4:54:12.433 	-0.000052	-0.000133	0.000547
오후 4:54:12.433 	-0.000061	-0.000154	0.000559
오후 4:54:12.458 	-0.000048	-0.000136	0.000570
오후 4:54:12.458 	-0.000054	-0.000129	0.000582
오후 4:54:12.459 	-0.000061	-0.000133	0.000593
오후 4:54:12.459 	-0.000060	-0.000136	0.000604
오후 4:54:12.484 	-0.000060	-0.000138	0.000614
오후 4:54:12.484 	-0.000050	-0.000127	0.000624
오후 4:54:12.509 	-0.000060	-0.000131	0.000632
오후 4:54:12.509 	-0.000063	-0.000141	0.000640
오후 4:54:12.536 	-0.000066	-0.000152	0.000647
오후 4:54:12.536 	-0.000055	-0.000135	0.000653
오후 4:54:12.559 	-0.000062	-0.000135	0.000658
오후 4:54:12.559 	-0.000063	-0.000147	0.000663
오후 4:54:12.583 	-0.000068	-0.000153	0.000666
오후 4:54:12.583 	-0.000057	-0.000133	0.000669
오후 4:54:12.589 	-0.000055	-0.000130	0.000671
오후 4:54:12.589 	-0.000055	-0.000137	0.000672
오후 4:54:12.609 	-0.000064	-0.000154	0.000673
오후 4:54:12.609 	-0.000066	-0.000152	0.000673
오후 4:54:12.636 	-0.000061	-0.000139	0.000672
오후 4:54:12.636 	-0.000046	-0.000134	0.000671
오후 4:54:12.671 	-0.000063	-0.000152	0.000670
오후 4:54:12.671 	-0.000062	-0.000148	0.000667
오후 4:54:12.695 	-0.000051	-0.000130	0.000665
오후 4:54:12.695 	-0.000045	-0.000127	0.000663
오후 4:54:12.715 	-0.000053	-0.000141	0.000660
오후 4:54:12.715 	-0.000044	-0.000137	0.000657
오후 4:54:12.737 	-0.000039	-0.000128	0.000653
오후 4:54:12.737 	-0.000037	-0.000124	0.000650
오후 4:54:12.759 	-0.000046	-0.000135	0.000646
오후 4:54:12.759 	-0.000042	-0.000135	0.000642
오후 4:54:12.797 	-0.000038	-0.000137	0.000639
오후 4:54:12.797 	-0.000036	-0.000123	0.000635
오후 4:54:12.799 	-0.000052	-0.000131	0.000630
오후 4:54:12.799 	-0.000065	-0.000153	0.000626
오후 4:54:12.811 	-0.000072	-0.000161	0.000622
오후 4:54:12.811 	-0.000037	-0.000124	0.000618
오후 4:54:12.820 	-0.000023	-0.000117	0.000614
