Time	EEG_Fp1	EEG_Fp2	PPG
오후 6:14:02.158 	0.000307	0.000337	0.000532
오후 6:14:02.158 	0.000324	0.000353	0.000532
오후 6:14:02.177 	0.000330	0.000371	0.000532
오후 6:14:02.177 	0.000329	0.000371	0.000532
오후 6:14:02.207 	0.000328	0.000370	0.000532
오후 6:14:02.207 	0.000334	0.000379	0.000532
오후 6:14:02.227 	0.000331	0.000376	0.000532
오후 6:14:02.227 	0.000315	0.000368	0.000532
오후 6:14:02.256 	0.000297	0.000359	0.000532
오후 6:14:02.256 	0.000286	0.000347	0.000532
오후 6:14:02.283 	0.000270	0.000336	0.000532
오후 6:14:02.283 	0.000248	0.000316	0.000532
오후 6:14:02.303 	0.000222	0.000293	0.000532
오후 6:14:02.303 	0.000207	0.000279	0.000532
오후 6:14:02.327 	0.000191	0.000259	0.000532
오후 6:14:02.327 	0.000171	0.000241	0.000532
오후 6:14:02.358 	0.000152	0.000220	0.000532
오후 6:14:02.358 	0.000157	0.000223	0.000532
오후 6:14:02.363 	0.000130	0.000205	0.000532
오후 6:14:02.363 	0.000114	0.000189	0.000532
오후 6:14:02.389 	0.000102	0.000169	0.000532
오후 6:14:02.389 	0.000079	0.000151	0.000532
오후 6:14:02.402 	0.000076	0.000138	0.000533
오후 6:14:02.402 	0.000063	0.000124	0.000533
오후 6:14:02.438 	0.000048	0.000112	0.000533
오후 6:14:02.438 	0.000042	0.000099	0.000533
오후 6:14:02.439 	0.000036	0.000093	0.000533
오후 6:14:02.439 	0.000033	0.000084	0.000533
오후 6:14:02.440 	0.000030	0.000073	0.000533
오후 6:14:02.440 	0.000015	0.000053	0.000533
오후 6:14:02.441 	0.000014	0.000043	0.000533
오후 6:14:02.441 	0.000007	0.000037	0.000533
오후 6:14:02.444 	0.000003	0.000034	0.000533
오후 6:14:02.444 	0.000005	0.000031	0.000533
오후 6:14:02.445 	-0.000012	0.000020	0.000533
오후 6:14:02.445 	-0.000013	0.000016	0.000533
오후 6:14:02.446 	-0.000010	0.000012	0.000532
오후 6:14:02.446 	-0.000020	0.000002	0.000532
오후 6:14:02.469 	-0.000023	0.000002	0.000532
오후 6:14:02.469 	-0.000022	-0.000001	0.000532
오후 6:14:02.476 	-0.000022	-0.000007	0.000532
오후 6:14:02.476 	-0.000037	-0.000019	0.000532
오후 6:14:02.510 	-0.000046	-0.000034	0.000532
오후 6:14:02.510 	-0.000042	-0.000034	0.000532
오후 6:14:02.512 	-0.000044	-0.000040	0.000532
오후 6:14:02.512 	-0.000046	-0.000052	0.000533
오후 6:14:02.513 	-0.000051	-0.000060	0.000533
오후 6:14:02.513 	-0.000045	-0.000053	0.000533
오후 6:14:02.514 	-0.000043	-0.000055	0.000533
오후 6:14:02.514 	-0.000049	-0.000064	0.000533
오후 6:14:02.516 	-0.000048	-0.000067	0.000533
오후 6:14:02.516 	-0.000046	-0.000065	0.000533
오후 6:14:02.517 	-0.000051	-0.000060	0.000533
오후 6:14:02.517 	-0.000056	-0.000066	0.000533
오후 6:14:02.518 	-0.000056	-0.000073	0.000533
오후 6:14:02.518 	-0.000056	-0.000071	0.000533
오후 6:14:02.520 	-0.000059	-0.000068	0.000533
오후 6:14:02.520 	-0.000065	-0.000078	0.000532
오후 6:14:02.524 	-0.000073	-0.000089	0.000533
오후 6:14:02.524 	-0.000076	-0.000088	0.000532
오후 6:14:02.557 	-0.000069	-0.000076	0.000532
오후 6:14:02.557 	-0.000069	-0.000082	0.000532
오후 6:14:02.558 	-0.000079	-0.000092	0.000532
오후 6:14:02.558 	-0.000079	-0.000095	0.000532
오후 6:14:02.559 	-0.000073	-0.000092	0.000532
오후 6:14:02.559 	-0.000076	-0.000089	0.000532
오후 6:14:02.560 	-0.000072	-0.000091	0.000532
오후 6:14:02.560 	-0.000072	-0.000094	0.000532
오후 6:14:02.561 	-0.000066	-0.000089	0.000532
오후 6:14:02.561 	-0.000060	-0.000078	0.000532
오후 6:14:02.563 	-0.000064	-0.000082	0.000532
오후 6:14:02.563 	-0.000064	-0.000084	0.000531
오후 6:14:02.564 	-0.000062	-0.000082	0.000531
오후 6:14:02.564 	-0.000061	-0.000079	0.000531
오후 6:14:02.566 	-0.000070	-0.000081	0.000531
오후 6:14:02.566 	-0.000070	-0.000083	0.000531
오후 6:14:02.569 	-0.000076	-0.000087	0.000531
오후 6:14:02.569 	-0.000074	-0.000086	0.000531
오후 6:14:02.596 	-0.000075	-0.000093	0.000531
오후 6:14:02.596 	-0.000075	-0.000096	0.000531
오후 6:14:02.598 	-0.000074	-0.000097	0.000531
오후 6:14:02.598 	-0.000081	-0.000096	0.000531
오후 6:14:02.600 	-0.000078	-0.000093	0.000531
오후 6:14:02.600 	-0.000072	-0.000092	0.000531
오후 6:14:02.601 	-0.000083	-0.000103	0.000531
오후 6:14:02.601 	-0.000069	-0.000087	0.000532
오후 6:14:02.602 	-0.000070	-0.000085	0.000532
오후 6:14:02.602 	-0.000076	-0.000089	0.000532
오후 6:14:02.604 	-0.000074	-0.000095	0.000532
오후 6:14:02.604 	-0.000065	-0.000087	0.000532
오후 6:14:02.605 	-0.000051	-0.000068	0.000532
