Time	EEG_Fp1	EEG_Fp2	PPG
오후 6:13:06.882 	0.000068	0.000046	0.000532
오후 6:13:06.882 	0.000068	0.000042	0.000532
오후 6:13:06.884 	0.000062	0.000038	0.000532
오후 6:13:06.884 	0.000066	0.000036	0.000532
오후 6:13:06.885 	0.000059	0.000030	0.000532
오후 6:13:06.885 	0.000057	0.000029	0.000532
오후 6:13:06.886 	0.000074	0.000042	0.000532
오후 6:13:06.886 	0.000069	0.000043	0.000532
오후 6:13:06.908 	0.000065	0.000033	0.000531
오후 6:13:06.908 	0.000062	0.000030	0.000531
오후 6:13:06.911 	0.000070	0.000041	0.000531
오후 6:13:06.911 	0.000071	0.000046	0.000531
오후 6:13:06.912 	0.000064	0.000035	0.000530
오후 6:13:06.912 	0.000072	0.000040	0.000530
오후 6:13:06.914 	0.000078	0.000043	0.000530
오후 6:13:06.914 	0.000064	0.000035	0.000530
오후 6:13:06.936 	0.000065	0.000036	0.000530
오후 6:13:06.936 	0.000069	0.000032	0.000529
오후 6:13:06.938 	0.000076	0.000047	0.000529
오후 6:13:06.938 	0.000077	0.000047	0.000529
오후 6:13:06.939 	0.000077	0.000046	0.000529
오후 6:13:06.939 	0.000070	0.000043	0.000529
오후 6:13:06.940 	0.000069	0.000050	0.000529
오후 6:13:06.940 	0.000069	0.000046	0.000529
오후 6:13:06.941 	0.000061	0.000036	0.000529
오후 6:13:06.941 	0.000063	0.000034	0.000529
오후 6:13:06.943 	0.000080	0.000044	0.000529
오후 6:13:06.943 	0.000078	0.000049	0.000530
오후 6:13:06.944 	0.000072	0.000038	0.000530
오후 6:13:06.944 	0.000070	0.000035	0.000530
오후 6:13:06.946 	0.000062	0.000032	0.000530
오후 6:13:06.946 	0.000067	0.000038	0.000530
오후 6:13:06.956 	0.000072	0.000042	0.000530
오후 6:13:06.956 	0.000067	0.000035	0.000531
오후 6:13:06.958 	0.000073	0.000039	0.000531
오후 6:13:06.958 	0.000068	0.000042	0.000531
오후 6:13:06.959 	0.000073	0.000040	0.000531
오후 6:13:06.959 	0.000077	0.000046	0.000531
오후 6:13:06.978 	0.000062	0.000038	0.000531
오후 6:13:06.978 	0.000072	0.000049	0.000531
오후 6:13:06.982 	0.000062	0.000035	0.000531
오후 6:13:06.982 	0.000058	0.000031	0.000531
오후 6:13:06.984 	0.000068	0.000025	0.000531
오후 6:13:06.984 	0.000068	0.000028	0.000531
오후 6:13:07.003 	0.000073	0.000037	0.000532
오후 6:13:07.003 	0.000074	0.000029	0.000531
오후 6:13:07.007 	0.000068	0.000023	0.000531
오후 6:13:07.007 	0.000063	0.000023	0.000531
오후 6:13:07.008 	0.000075	0.000038	0.000531
오후 6:13:07.008 	0.000083	0.000046	0.000531
오후 6:13:07.010 	0.000065	0.000031	0.000532
오후 6:13:07.010 	0.000051	0.000015	0.000531
오후 6:13:07.011 	0.000059	0.000024	0.000532
오후 6:13:07.011 	0.000068	0.000032	0.000532
오후 6:13:07.012 	0.000064	0.000020	0.000532
오후 6:13:07.012 	0.000060	0.000015	0.000532
오후 6:13:07.024 	0.000060	0.000026	0.000532
오후 6:13:07.024 	0.000062	0.000030	0.000532
오후 6:13:07.025 	0.000063	0.000030	0.000532
오후 6:13:07.025 	0.000064	0.000029	0.000532
오후 6:13:07.027 	0.000069	0.000034	0.000532
오후 6:13:07.027 	0.000072	0.000034	0.000532
오후 6:13:07.028 	0.000070	0.000031	0.000532
오후 6:13:07.028 	0.000070	0.000027	0.000532
오후 6:13:07.029 	0.000067	0.000025	0.000532
오후 6:13:07.029 	0.000062	0.000026	0.000532
오후 6:13:07.030 	0.000055	0.000016	0.000532
오후 6:13:07.030 	0.000048	0.000013	0.000532
오후 6:13:07.032 	0.000050	0.000016	0.000532
오후 6:13:07.032 	0.000061	0.000027	0.000532
오후 6:13:07.033 	0.000062	0.000027	0.000532
오후 6:13:07.033 	0.000050	0.000012	0.000532
오후 6:13:07.039 	0.000063	0.000025	0.000532
오후 6:13:07.039 	0.000061	0.000023	0.000532
오후 6:13:07.058 	0.000064	0.000031	0.000532
오후 6:13:07.058 	0.000058	0.000020	0.000532
오후 6:13:07.092 	0.000062	0.000021	0.000532
오후 6:13:07.092 	0.000055	0.000020	0.000532
오후 6:13:07.114 	0.000059	0.000027	0.000532
오후 6:13:07.114 	0.000063	0.000032	0.000532
오후 6:13:07.117 	0.000064	0.000022	0.000532
오후 6:13:07.117 	0.000067	0.000027	0.000532
오후 6:13:07.118 	0.000066	0.000019	0.000532
오후 6:13:07.118 	0.000056	0.000013	0.000532
오후 6:13:07.120 	0.000058	0.000017	0.000532
오후 6:13:07.120 	0.000067	0.000021	0.000532
오후 6:13:07.122 	0.000064	0.000021	0.000532
오후 6:13:07.122 	0.000066	0.000028	0.000532
오후 6:13:07.123 	0.000056	0.000021	0.000532
오후 6:13:07.123 	0.000057	0.000023	0.000532
오후 6:13:07.124 	0.000059	0.000019	0.000532
오후 6:13:07.124 	0.000049	0.000010	0.000532
오후 6:13:07.125 	0.000053	0.000010	0.000532
오후 6:13:07.125 	0.000053	0.000014	0.000532
오후 6:13:07.137 	0.000059	0.000018	0.000532
오후 6:13:07.137 	0.000051	0.000013	0.000532
오후 6:13:07.138 	0.000059	0.000025	0.000532
오후 6:13:07.138 	0.000063	0.000030	0.000532
오후 6:13:07.140 	0.000056	0.000017	0.000532
오후 6:13:07.140 	0.000058	0.000020	0.000532
오후 6:13:07.141 	0.000051	0.000017	0.000532
오후 6:13:07.141 	0.000051	0.000018	0.000532
오후 6:13:07.142 	0.000053	0.000017	0.000532
오후 6:13:07.142 	0.000058	0.000025	0.000532
오후 6:13:07.143 	0.000059	0.000023	0.000532
오후 6:13:07.143 	0.000057	0.000018	0.000532
오후 6:13:07.144 	0.000050	0.000014	0.000532
오후 6:13:07.144 	0.000062	0.000032	0.000532
오후 6:13:07.146 	0.000055	0.000015	0.000532
오후 6:13:07.146 	0.000051	0.000014	0.000532
오후 6:13:07.151 	0.000053	0.000018	0.000532
오후 6:13:07.151 	0.000045	0.000014	0.000532
오후 6:13:07.186 	0.000049	0.000022	0.000532
오후 6:13:07.186 	0.000047	0.000014	0.000532
오후 6:13:07.187 	0.000046	0.000006	0.000532
오후 6:13:07.187 	0.000055	0.000014	0.000532
오후 6:13:07.188 	0.000067	0.000034	0.000532
오후 6:13:07.188 	0.000056	0.000018	0.000532
오후 6:13:07.190 	0.000066	0.000026	0.000532
오후 6:13:07.190 	0.000056	0.000021	0.000532
오후 6:13:07.191 	0.000063	0.000029	0.000532
오후 6:13:07.191 	0.000056	0.000021	0.000532
오후 6:13:07.192 	0.000053	0.000018	0.000532
오후 6:13:07.192 	0.000051	0.000009	0.000532
오후 6:13:07.193 	0.000060	0.000019	0.000532
오후 6:13:07.193 	0.000061	0.000033	0.000532
오후 6:13:07.194 	0.000060	0.000022	0.000532
오후 6:13:07.194 	0.000058	0.000025	0.000532
오후 6:13:07.196 	0.000070	0.000028	0.000532
오후 6:13:07.196 	0.000065	0.000033	0.000532
오후 6:13:07.212 	0.000041	0.000014	0.000532
오후 6:13:07.212 	0.000047	0.000013	0.000532
오후 6:13:07.214 	0.000084	0.000044	0.000532
오후 6:13:07.214 	0.000098	0.000062	0.000532
오후 6:13:07.215 	0.000083	0.000046	0.000532
오후 6:13:07.215 	0.000080	0.000047	0.000532
오후 6:13:07.217 	0.000080	0.000045	0.000532
오후 6:13:07.217 	0.000087	0.000049	0.000532
