Time	EEG_Fp1	EEG_Fp2	PPG
오후 6:09:08.729 	0.000057	0.000026	0.000529
오후 6:09:08.729 	0.000046	0.000010	0.000529
오후 6:09:08.734 	0.000048	0.000009	0.000529
오후 6:09:08.734 	0.000054	0.000018	0.000529
오후 6:09:08.754 	0.000064	0.000031	0.000529
오후 6:09:08.754 	0.000060	0.000025	0.000529
오후 6:09:08.778 	0.000065	0.000022	0.000529
오후 6:09:08.778 	0.000062	0.000019	0.000529
오후 6:09:08.779 	0.000063	0.000021	0.000529
오후 6:09:08.779 	0.000060	0.000026	0.000529
오후 6:09:08.792 	0.000055	0.000021	0.000529
오후 6:09:08.792 	0.000060	0.000022	0.000529
오후 6:09:08.806 	0.000057	0.000020	0.000529
오후 6:09:08.806 	0.000059	0.000020	0.000529
오후 6:09:08.829 	0.000069	0.000025	0.000529
오후 6:09:08.829 	0.000063	0.000027	0.000529
오후 6:09:08.857 	0.000063	0.000029	0.000529
오후 6:09:08.857 	0.000064	0.000034	0.000529
오후 6:09:08.881 	0.000065	0.000029	0.000529
오후 6:09:08.881 	0.000058	0.000025	0.000529
오후 6:09:08.904 	0.000051	0.000024	0.000529
오후 6:09:08.904 	0.000048	0.000022	0.000529
오후 6:09:08.927 	0.000049	0.000018	0.000529
오후 6:09:08.927 	0.000039	0.000007	0.000529
오후 6:09:08.928 	0.000047	0.000015	0.000529
오후 6:09:08.928 	0.000044	0.000021	0.000529
오후 6:09:08.952 	0.000056	0.000027	0.000529
오후 6:09:08.952 	0.000060	0.000025	0.000529
오후 6:09:08.980 	0.000049	0.000023	0.000529
오후 6:09:08.980 	0.000047	0.000023	0.000529
오후 6:09:08.981 	0.000045	0.000022	0.000529
오후 6:09:08.981 	0.000048	0.000018	0.000529
오후 6:09:09.008 	0.000032	0.000015	0.000529
오후 6:09:09.008 	0.000037	0.000017	0.000529
오후 6:09:09.030 	0.000038	0.000020	0.000529
오후 6:09:09.030 	0.000037	0.000010	0.000529
오후 6:09:09.053 	0.000034	0.000011	0.000529
오후 6:09:09.053 	0.000046	0.000028	0.000529
오후 6:09:09.079 	0.000051	0.000033	0.000529
오후 6:09:09.079 	0.000038	0.000025	0.000529
오후 6:09:09.103 	0.000038	0.000020	0.000529
오후 6:09:09.103 	0.000046	0.000030	0.000529
오후 6:09:09.127 	0.000042	0.000030	0.000529
오후 6:09:09.127 	0.000047	0.000033	0.000529
오후 6:09:09.155 	0.000043	0.000026	0.000529
오후 6:09:09.155 	0.000032	0.000017	0.000529
오후 6:09:09.161 	0.000042	0.000027	0.000530
오후 6:09:09.161 	0.000038	0.000026	0.000529
오후 6:09:09.179 	0.000029	0.000014	0.000530
오후 6:09:09.179 	0.000031	0.000013	0.000529
오후 6:09:09.203 	0.000032	0.000015	0.000530
오후 6:09:09.203 	0.000034	0.000017	0.000530
오후 6:09:09.209 	0.000041	0.000020	0.000529
오후 6:09:09.209 	0.000034	0.000017	0.000529
오후 6:09:09.228 	0.000049	0.000032	0.000529
오후 6:09:09.228 	0.000051	0.000035	0.000529
오후 6:09:09.254 	0.000053	0.000037	0.000529
오후 6:09:09.254 	0.000046	0.000034	0.000529
오후 6:09:09.281 	0.000056	0.000035	0.000529
오후 6:09:09.281 	0.000064	0.000039	0.000529
